run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
49970a342dc9,3.2136574022231565,35,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e035_de003.2137.pt,late,smallcnn,image+mean+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6098f3fee265,3.2298693426193728,35,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e035_de003.2299.pt,late,smallcnn,image+mean+meta,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5b2d20e173d9,5.1999829303787415,35,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e035_de005.2000.pt,late,smallcnn,image,pixel+samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
6e98bd2ec7f6,3.4804154285486195,39,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e039_de003.4804.pt,late,smallcnn,image+meta,none,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
cad9a26d54b1,3.3704371079154636,39,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e039_de003.3704.pt,late,smallcnn,image+mean+meta,none,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5b8a40283820,6.095035804527393,39,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e039_de006.0950.pt,late,smallcnn,image,none,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3a1ab44dab70,5.786566261116785,43,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e043_de005.7866.pt,late,smallcnn,image,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
1dbf875f4265,3.145356125504006,46,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e046_de003.1454.pt,late,smallcnn,image+meta,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
f88ad2bd1aac,2.9646671255126256,49,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e049_de002.9647.pt,late,smallcnn,image+mean+meta,pixel,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3dbf4623a0d3,5.149872933664629,54,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e054_de005.1499.pt,late,smallcnn,image,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e38ec44fa7e9,3.128319593788921,65,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e065_de003.1283.pt,late,smallcnn,image+mean+meta,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
f9556823884c,2.87976962191458,70,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e070_de002.8798.pt,late,smallcnn,image+mean+meta,pixel,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
12d87f5d9087,2.9763123733409937,73,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e073_de002.9763.pt,late,smallcnn,image+meta,none,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e9b283c5e738,2.9898924433666725,73,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e073_de002.9899.pt,late,smallcnn,image+meta,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
fc9947321cbd,2.391987583723413,77,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e077_de002.3920.pt,late,smallcnn,image+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
70714c04b958,2.8209187599920456,79,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e079_de002.8209.pt,late,smallcnn,image+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
8f9cebc057b9,2.7689066625410512,82,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e082_de002.7689.pt,late,smallcnn,image+meta,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
1bc53f63fe14,2.7662366683246526,84,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e084_de002.7662.pt,late,smallcnn,image+meta,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
fe66ade55d87,2.8048056009161564,84,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e084_de002.8048.pt,late,smallcnn,image+meta,pixel,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
addb261ac7ab,3.0743869587995003,86,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e086_de003.0744.pt,late,smallcnn,image+mean+meta,none,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b41908af0bd9,3.0835421486177306,87,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e087_de003.0835.pt,late,smallcnn,image+mean+meta,none,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
98c42bf21465,2.8095398968412675,89,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e089_de002.8095.pt,late,smallcnn,image+meta,pixel,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c6bb6d95e899,2.3036109596849923,93,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e093_de002.3036.pt,late,smallcnn,image+mean+meta,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
21e93d89c724,2.3201584844704133,97,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e097_de002.3202.pt,late,smallcnn,image+mean+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c14a7207eb7c,4.2143482558698535,16,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e016_de004.2143.pt,xattn,resnet18,image,pixel+samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
152e06bd7216,5.2087428005597065,18,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e018_de005.2087.pt,xattn,resnet18,image,pixel,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b801af8c6f3e,5.483169400864753,31,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e031_de005.4832.pt,xattn,resnet18,image,none,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
290553be3b48,3.5035205174641435,21,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e021_de003.5035.pt,xattn,resnet18,image+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
07a30e5e00d8,5.053684027298637,21,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e021_de005.0537.pt,xattn,resnet18,image,none,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
eb3d07968b5f,3.412924076764638,22,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e022_de003.4129.pt,xattn,resnet18,image+meta,pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
1ba085bb3a2a,3.6856122690302726,24,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e024_de003.6856.pt,xattn,resnet18,image+meta,pixel,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a24df821cd11,3.2597802915880756,23,/home/dominik/repo/checkpoints/sweep/xattn/xattn_resnet18_e023_de003.2598.pt,xattn,resnet18,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
