ISOSpeedRatings,ShutterSpeedValue,BrightnessValue,L,a,b,L-true,a-true,b-true,Make_Apple,Make_Google,Make_samsung
640,4.276121696,-1.147178902,52.222588,12.688445,16.247839,57.188583,11.835489,20.05277,1,0,0
1000,3.909959585,-1.200346049,61.234238,12.831071,19.701754,57.10753,9.902343,20.455963,1,0,0
1000,3.909959585,-1.269168083,61.352077,9.85042,20.947445,56.68566,9.685779,21.568878,1,0,0
1000,3.909959585,-1.269168083,63.715973,7.1451864,19.7202,56.755615,8.404765,21.060598,1,0,0
1000,3.909959585,-1.606450422,58.120625,14.459364,20.81413,53.927246,12.823388,21.23433,1,0,0
1000,3.909959585,-1.559719372,55.781864,19.222942,19.610151,53.545975,16.019243,19.634878,1,0,0
1000,3.909959585,-1.316943805,58.384483,21.860567,18.382505,53.335617,16.821207,18.19671,1,0,0
1000,3.909959585,-1.245860706,54.924973,20.215982,18.358482,54.491013,16.716059,18.092766,1,0,0
1000,3.909959585,-1.470566994,60.281986,13.362111,22.239029,53.135147,12.774755,21.85494,1,0,0
1000,3.909959585,-1.525638376,54.70882,12.538708,18.367456,54.001453,11.646533,20.150839,1,0,0
1000,3.909959585,-1.520035672,55.24261,8.962536,17.984081,52.89887,10.438525,19.721853,1,0,0
1000,3.909959585,-1.54257824,56.87688,7.64868,18.400982,53.209557,8.4475565,20.102232,1,0,0
1000,3.909959585,-1.321809561,57.796154,7.6977015,21.229052,54.477448,7.0145698,21.834476,1,0,0
1000,3.909959585,-1.756475868,50.473152,14.942222,20.70631,49.392807,13.7782545,21.313484,1,0,0
1000,3.909959585,-1.600525587,56.65719,17.69732,20.087797,49.528767,15.858162,20.396135,1,0,0
1000,3.909959585,-1.486868807,57.044415,19.863806,18.177591,49.235924,16.468294,17.645351,1,0,0
1000,3.909959585,-1.316943805,54.73149,18.812643,15.938154,49.432293,15.8319025,16.131208,1,0,0
1000,3.909959585,-1.525638376,60.290375,13.900826,22.1519,49.02744,12.37615,21.346624,1,0,0
1000,3.909959585,-1.302444236,56.697636,12.761793,20.585758,50.317432,12.700615,21.401436,1,0,0
1000,3.909959585,-1.594624986,54.905716,10.320591,19.563354,49.422443,9.262399,20.051134,1,0,0
1000,3.909959585,-1.321809561,59.19405,7.2844505,21.09346,49.57981,8.25191,20.24161,1,0,0
1000,3.909959585,-1.909211106,49.475796,13.614759,19.313496,44.093468,12.281855,19.797335,1,0,0
1000,3.909959585,-1.723908004,50.614647,14.931217,17.408024,45.444614,14.405902,18.170168,1,0,0
1000,3.909959585,-1.817017409,49.315308,16.51173,17.44765,44.289803,14.755018,17.151789,1,0,0
1000,3.909959585,-1.830823207,49.472725,16.38609,15.774224,44.5889,14.406271,16.36142,1,0,0
1000,3.909959585,-1.803342471,50.63745,13.341139,20.451859,44.756588,11.655614,20.104218,1,0,0
1000,3.909959585,-1.704714437,51.72512,11.62553,18.527367,45.310497,12.286628,19.111362,1,0,0
1000,3.909959585,-1.817017409,50.82896,9.6555395,20.120989,44.67594,9.747376,19.934181,1,0,0
1000,3.909959585,-1.865927007,52.759556,9.873199,19.851624,45.08338,8.0106945,21.03662,1,0,0
1000,3.909959585,-2.283335412,44.878883,11.358576,16.900566,39.53265,10.904205,17.0126,1,0,0
1000,3.909959585,-2.312094406,44.993996,12.455917,13.681035,39.159378,12.796523,15.3166275,1,0,0
1000,3.909959585,-2.209334832,46.19954,15.008106,13.264646,39.058563,12.480067,14.548525,1,0,0
1000,3.909959585,-2.209334832,47.07835,12.854877,13.377903,38.69224,12.771612,13.416813,1,0,0
1000,3.909959585,-2.218379971,53.551502,10.669995,18.536432,39.7831,10.182378,17.949804,1,0,0
1000,3.909959585,-2.11341041,54.057755,9.047018,17.113016,40.638382,10.355568,16.718884,1,0,0
1250,3.909959585,-2.500793735,51.648083,13.7622385,27.086994,39.626873,9.498263,18.925226,1,0,0
1250,3.909959585,-3.052778912,44.40189,9.686537,19.096222,34.12453,8.305508,13.037223,1,0,0
1250,3.909959585,-3.004684624,44.782784,9.505259,16.705029,34.07463,8.273018,11.069825,1,0,0
1250,3.909959585,-3.016558723,41.492546,12.38573,17.154198,34.753605,9.284836,10.806059,1,0,0
1250,3.909959585,-2.869332774,44.30642,15.229536,17.70376,33.212276,9.99642,10.511238,1,0,0
1600,3.909959585,-3.012234693,44.706257,8.12246,13.730406,34.848213,7.7943053,12.792667,1,0,0
640,4.149619804,-1.602303543,32.540638,12.272783,15.128475,36.526527,8.958122,18.282227,1,0,0
640,4.177333478,-1.655079791,29.862041,10.261815,13.433809,36.983135,7.396573,18.251486,1,0,0
